filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Lower costs will save families hundreds, if not thousands, of dollars a year.",cost,save,.63152403
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"We have more accessible and affordable health care and child care, stronger public schools, and more affordable higher education.",affordable,education,.25980136
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"The Census counts it in black-and-white – while some states in our region lost population, New Jersey grew.",count,it,.49739721
NJ2022.txt,New Jersey,Murphy_Phil,65,0,I am extraordinarily honored and humbled by the responsibility you have given me.,you,give,.46997485
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"The Census counts it in black-and-white – while some states in our region lost population, New Jersey grew.",census,count,.5161168
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"We have more accessible and affordable health care and child care, stronger public schools, and more affordable higher education.",accessible,care,.25167298
NJ2022.txt,New Jersey,Murphy_Phil,65,0,The Innovation Evergreen Fund will be critical to making this goal our reality.,make,goal,.68419498
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"For that I say, “thank you.",thank,you,.44988889
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Let’s prove that our words have actual value and meaning.,actual,value,.32529309
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"And if we hold together to shine bright just a little longer, we will disperse the dark cloud of COVID.",dark,cloud,.19045152
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Few public investments will protect the value of your home more than strong and properly funded public schools.,protect,value,.78759402
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We extended property tax deductions for veterans and service-members.,extend,deduction,.52806377
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And no state represents both the glorious history and awesome future of the American Dream more than ours.,glorious,history,.70602977
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We expanded eligibility of older homeowners for the Senior Freeze program to protect you against any property tax increases.,old,homeowner,.52799684
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We have shown you can make economic progress and social progress at the same time.,make,progress,.66016638
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Hard work, especially in the face of great challenge, defines us.",hard,work,.60448164
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And no state represents both the glorious history and awesome future of the American Dream more than ours.,represent,history,.62870425
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Strong public schools make communities more attractive for families looking to move to New Jersey.,community,attractive,.52857322
NJ2022.txt,New Jersey,Murphy_Phil,65,0,The people of New Jersey elected each of us in public office for a single purpose – to get things done.,elect,each,.58043545
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"However, the price for having an unlimited upside cannot be an unlimited downside.",unlimited,upside,.69308203
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Across New Jersey, nearly 90 percent of all eligible residents have received at least a first vaccine dose.",vaccine,dose,.24150845
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Few public investments will protect the value of your home more than strong and properly funded public schools.,public,school,.32463321
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And it is you to whom I recommit my efforts.,recommit,effort,.58671868
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We all live in the same house.,same,house,.38427633
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"So, here’s what this means – more people have insurance and they’re paying less for it.",more,people,.41102111
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And let’s prove that our best days aren’t in our rear-view mirror.,good,day,.44973347
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We will never forget the loss that has hit so many of our neighbors.,that,hit,.56706232
NJ2022.txt,New Jersey,Murphy_Phil,65,0,This is what you expect.,you,expect,.39788747
NJ2022.txt,New Jersey,Murphy_Phil,65,0,The booster is proven to lessen the impact of illness to keep you out of the hospital.,lessen,impact,.73775524
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"We are doing this not just because our kids deserve it but because our property taxpayers do, too.",do,this,.4782168
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We expanded eligibility of older homeowners for the Senior Freeze program to protect you against any property tax increases.,expand,eligibility,.56503791
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We expanded eligibility of older homeowners for the Senior Freeze program to protect you against any property tax increases.,senior,program,.63525933
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Every dose gets us one step closer to regaining the life we knew prior to COVID.,dose,get,.45808786
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"And if we hold together to shine bright just a little longer, we will disperse the dark cloud of COVID.",disperse,cloud,.46524027
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Few public investments will protect the value of your home more than strong and properly funded public schools.,investment,protect,.78203243
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Across the nation, we’ve seen some of the worst that crises can bring out in people.",bring,that,.57768911
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Four years ago, our schools and property taxpayers were reeling after eight years of diminished investment.",school,reel,.54680675
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"So, here’s what this means – more people have insurance and they’re paying less for it.",they,pay,.42892295
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We also reined-in the cost of public employee and retiree health benefits while preserving high-quality care.,preserve,care,.31849292
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"We have more accessible and affordable health care and child care, stronger public schools, and more affordable higher education.",high,education,.6469506
NJ2022.txt,New Jersey,Murphy_Phil,65,0,It is more important than ever that you get your booster shot.,booster,shoot,.38809845
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Omicron is doing its best to stop us in our tracks and push us back.,do,good,.47402558
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And we did it without asking customers to pay one penny more in fares for four straight years.,ask,customer,.30832437
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Today, it stands as a model of how to turn around a mass-transit system.",turn,system,.5206663
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And I urge the Legislature to once again take up the next phase of commonsense and comprehensive gun-safety reforms.,next,phase,.40582585
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We have achieved these accomplishments during the most difficult of times and against some of the darkest of backdrops.,achieve,accomplishment,.63620514
NJ2022.txt,New Jersey,Murphy_Phil,65,0,… And opportunity to make New Jersey the launchpad for the next great idea and the home of the next generation.,jersey,launchpad,.49155098
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"In fact, despite all the challenges, we continue to move New Jersey forward.",move,jersey,.47234383
NJ2022.txt,New Jersey,Murphy_Phil,65,0,This is what building an economy that works for every family looks like.,that,work,.54598427
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"We will continue to focus on a broad-based economic recovery that works for everyone, not just a lucky few.",economic,recovery,.62133944
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"And because of this, we are accomplishing both.",accomplish,both,.5340755
NJ2022.txt,New Jersey,Murphy_Phil,65,0,I do not begrudge anyone the realization of their American Dream.,begrudge,anyone,.38473898
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Science and reality tell us that what we once called “full” vaccination is no longer that.,full,vaccination,.46450806
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Not when there is still too much uncertainty in our lives and our communities, and too many challenges ahead.",much,uncertainty,.67096305
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"So, if you have not yet gotten your booster shot, here is what I ask of you – go get it.",get,shoot,.38153252
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Let’s work together in good faith and with common purpose.,good,faith,.69469881
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Lower costs will save families hundreds, if not thousands, of dollars a year.",save,family,.49536446
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And let me make one thing very clear.,thing,clear,.58899194
NJ2022.txt,New Jersey,Murphy_Phil,65,0,And so do so many millions of your fellow New Jerseyans who have done the very same.,who,do,.43181345
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"While we are proud of the progress we are making, this critical work is far from done and will continue.",critical,work,.60082603
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"So, here’s what this means – more people have insurance and they’re paying less for it.",mean,what,.46055576
NJ2022.txt,New Jersey,Murphy_Phil,65,0,Getting these things done will require hard work but is not insurmountable.,thing,do,.43177223
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We are a model that others now seek to emulate.,emulate,that,.52506095
NJ2022.txt,New Jersey,Murphy_Phil,65,0,We’ve put a college education within reach with our tuition-free community college program.,put,education,.6335277
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"This not only hurt our hardworking public employees, but it threatened our very financial health as a state.",threaten,health,.55010307
NJ2022.txt,New Jersey,Murphy_Phil,65,0,"Four years ago, NJ TRANSIT was a national model of how not to run a mass-transit system.",mass,transit,.36427262
