filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
WV2022.txt,West Virginia,Justice_Jim,71,0,Steve has done absolutely wonders and Steve and I bingo off on one another like you can imagine.,steve,do,.35684341
WV2022.txt,West Virginia,Justice_Jim,71,0,"Absolutely, please, a big round of applause for all of them.",big,round,.39077613
WV2022.txt,West Virginia,Justice_Jim,71,0,They are finding out the very thing that I had said to you over and over and over and over.,they,find,.49878895
WV2022.txt,West Virginia,Justice_Jim,71,0,We absolutely need a new lab and need it really bad.,it,bad,.46251571
WV2022.txt,West Virginia,Justice_Jim,71,0,I was playing right behind him and everything and they were going to get the tip and everything.,they,go,.5209071
WV2022.txt,West Virginia,Justice_Jim,71,0,You are an incredible group of people.,incredible,group,.51177698
WV2022.txt,West Virginia,Justice_Jim,71,0,"You see, a long time ago, our forefathers, that is what they did.",do,what,.49853066
WV2022.txt,West Virginia,Justice_Jim,71,0,"We have added 85,896 new acres in West Virginia.",add,acre,.4545849
WV2022.txt,West Virginia,Justice_Jim,71,0,We’re the diamond in the rough that absolutely can do kinds of greatness.,do,kind,.50853986
WV2022.txt,West Virginia,Justice_Jim,71,0,They are finding out the very thing that I had said to you over and over and over and over.,say,that,.53640699
WV2022.txt,West Virginia,Justice_Jim,71,0,"We had a few extra dollars from the remaining CARES money, the original CARES money.",extra,dollar,.46364674
WV2022.txt,West Virginia,Justice_Jim,71,0,"I have got my beautiful daughter, Jill, and my okay son, Jay.",get,daughter,.46547067
WV2022.txt,West Virginia,Justice_Jim,71,0,Let me just say one last thing.,say,thing,.50598216
WV2022.txt,West Virginia,Justice_Jim,71,0,We are 52 percent higher income in our DNR today than we were the day I walked in the door.,high,income,.71450627
WV2022.txt,West Virginia,Justice_Jim,71,0,You just think of the investment that we’ve made in tourism and what has happened in this state.,you,think,.42537254
WV2022.txt,West Virginia,Justice_Jim,71,0,"We have got to build houses in West Virginia, people.",build,house,.51310122
WV2022.txt,West Virginia,Justice_Jim,71,0,"I absolutely promise you with all my soul that I couldn't believe what happened, to tell you the truth.",tell,truth,.5783723
WV2022.txt,West Virginia,Justice_Jim,71,0,"I absolutely promise you with all my soul that I couldn't believe what happened, to tell you the truth.",what,happen,.46370357
WV2022.txt,West Virginia,Justice_Jim,71,0,We need to commit dollars to locality pay.,commit,dollar,.63134664
WV2022.txt,West Virginia,Justice_Jim,71,0,"You know, tourism magazines that, to be perfectly honest, most of us had never heard of before.",you,know,.47417736
WV2022.txt,West Virginia,Justice_Jim,71,0,These people have given so much.,people,give,.40917408
WV2022.txt,West Virginia,Justice_Jim,71,0,"We've done this to try to retain or recruit, you know, good, good, good people.",good,people,.39958286
WV2022.txt,West Virginia,Justice_Jim,71,0,"We need to solicit all the good ideas, we need to work through all the good ideas.",good,idea,.58974791
WV2022.txt,West Virginia,Justice_Jim,71,0,It goes all of the way over here.,it,go,.52277577
WV2022.txt,West Virginia,Justice_Jim,71,0,"So Chelsea, please stand, incredible job, incredible job.",incredible,job,.5282951
WV2022.txt,West Virginia,Justice_Jim,71,0,"Steve McDaniel, the job that he has done is unbelievable.",he,do,.45499718
WV2022.txt,West Virginia,Justice_Jim,71,0,"Man, you all clap a lot.",you,clap,.40784955
WV2022.txt,West Virginia,Justice_Jim,71,0,Did I not tell you that early on?,tell,you,.52250695
WV2022.txt,West Virginia,Justice_Jim,71,0,"I don't know where they are, but, please, give them a round of applause.",give,round,.47191843
WV2022.txt,West Virginia,Justice_Jim,71,0,"She’s a long-time educator, and she’s now working with Communities In Schools.",she,work,.52553201
WV2022.txt,West Virginia,Justice_Jim,71,0,"When somebody is going the wrong way, I don't believe that you should just pamper them.",you,pamper,.49622631
WV2022.txt,West Virginia,Justice_Jim,71,0,A kid had given up in school.,kid,give,.43001556
WV2022.txt,West Virginia,Justice_Jim,71,0,"We had a few extra dollars from the remaining CARES money, the original CARES money.",original,money,.42294255
WV2022.txt,West Virginia,Justice_Jim,71,0,"So with all of that, I would say to you just this, I have got one more thing.",get,thing,.48122001
WV2022.txt,West Virginia,Justice_Jim,71,0,"There was a young man, like I said, whose name was Conner Cook, Woodrow Wilson High School.",young,man,.4004676
WV2022.txt,West Virginia,Justice_Jim,71,0,"We've done this to try to retain or recruit, you know, good, good, good people.",good,people,.39958286
WV2022.txt,West Virginia,Justice_Jim,71,0,"Then along came GreenPower Motor Company, did it not?",it,do,.46025267
WV2022.txt,West Virginia,Justice_Jim,71,0,Now remember what I told you about the Good Lord gave you the ability to smile and to laugh.,give,ability,.52571845
WV2022.txt,West Virginia,Justice_Jim,71,0,"I believe you have got to tell them, ""You’re going the wrong way.",you,go,.51772845
WV2022.txt,West Virginia,Justice_Jim,71,0,"Last but not least, this gentleman right here, surely deserves a ton of credit.",deserve,ton,.72277147
WV2022.txt,West Virginia,Justice_Jim,71,0,You just think about this.,you,think,.42537254
WV2022.txt,West Virginia,Justice_Jim,71,0,"We've done this to try to retain or recruit, you know, good, good, good people.",do,people,.39191324
WV2022.txt,West Virginia,Justice_Jim,71,0,"You may think, ""Well, that didn't mean anything.",mean,anything,.4182148
WV2022.txt,West Virginia,Justice_Jim,71,0,"You see, a long time ago, our forefathers, that is what they did.",you,see,.44675019
WV2022.txt,West Virginia,Justice_Jim,71,0,"For all practical purposes, nobody would like to come to West Virginia and do business.",nobody,like,.45949394
WV2022.txt,West Virginia,Justice_Jim,71,0,"You know, we have a Secretary of Tourism, Secretary Ruby, who has done an incredible job.",who,do,.43181345
WV2022.txt,West Virginia,Justice_Jim,71,0,"I believe you have got to tell them, ""You’re going the wrong way.",wrong,way,.49699712
WV2022.txt,West Virginia,Justice_Jim,71,0,"You know, we have a Secretary of Tourism, Secretary Ruby, who has done an incredible job.",do,job,.38512155
WV2022.txt,West Virginia,Justice_Jim,71,0,"I mean, surely we can get that done.",that,do,.47875604
WV2022.txt,West Virginia,Justice_Jim,71,0,We can phase it down.,phase,it,.35288844
WV2022.txt,West Virginia,Justice_Jim,71,0,"You know, tourism magazines that, to be perfectly honest, most of us had never heard of before.",most,hear,.45266089
WV2022.txt,West Virginia,Justice_Jim,71,0,It is an amazing time in West Virginia.,amazing,time,.51646429
WV2022.txt,West Virginia,Justice_Jim,71,0,"I have got my beautiful daughter, Jill, and my okay son, Jay.",okay,son,.43180233
WV2022.txt,West Virginia,Justice_Jim,71,0,Conner today is a straight-A student and what he is doing is unbelievable.,he,do,.45499718
WV2022.txt,West Virginia,Justice_Jim,71,0,"So wherever Mark is, please, Mark, stand.",mark,stand,.55304015
WV2022.txt,West Virginia,Justice_Jim,71,0,"I hope that you will take that and really, seriously consider both.",consider,both,.52558166
WV2022.txt,West Virginia,Justice_Jim,71,0,"I said over and over, and you might think, ""Oh, gosh, why does he say these things?""",you,think,.42537254
WV2022.txt,West Virginia,Justice_Jim,71,0,They have done so much so many different times.,they,do,.45243168
WV2022.txt,West Virginia,Justice_Jim,71,0,They have done so much so many different times.,different,time,.46795753
WV2022.txt,West Virginia,Justice_Jim,71,0,But please give Cathy and all these great people a tremendous round of applause.,give,round,.47191843
WV2022.txt,West Virginia,Justice_Jim,71,0,"Keep doing it, West Virginia.",do,it,.46025267
WV2022.txt,West Virginia,Justice_Jim,71,0,Absolutely too many people doubted us.,many,people,.40081227
WV2022.txt,West Virginia,Justice_Jim,71,0,"We have – we have an individual that was coming here tonight, this young man, his name is Conner Cook.",young,man,.4004676
WV2022.txt,West Virginia,Justice_Jim,71,0,And I see today that they are backstopping our hospitals and doing everything they can to help us again today.,they,can,.42716429
WV2022.txt,West Virginia,Justice_Jim,71,0,"I’ve seen this, you know, where really smart business people tried to do just this.",see,this,.50264966
WV2022.txt,West Virginia,Justice_Jim,71,0,We've got our Supreme Court with us.,get,court,.54533166
WV2022.txt,West Virginia,Justice_Jim,71,0,She is going to get a promotion here right soon and she is with us tonight.,she,go,.50919569
WV2022.txt,West Virginia,Justice_Jim,71,0,"In '21, they did 47,000 miles.",they,do,.45243168
WV2022.txt,West Virginia,Justice_Jim,71,0,They depend on you too.,they,depend,.40711159
WV2022.txt,West Virginia,Justice_Jim,71,0,It doesn't sound like much.,it,sound,.50530845
WV2022.txt,West Virginia,Justice_Jim,71,0,I want to just tell you from my heart some really important stuff to me.,important,stuff,.46586722
WV2022.txt,West Virginia,Justice_Jim,71,0,It'll drive so many things here.,drive,thing,.45912629
WV2022.txt,West Virginia,Justice_Jim,71,0,"We will just do this in silent prayer, but please, please, remember all those we've lost.",silent,prayer,.29724577
WV2022.txt,West Virginia,Justice_Jim,71,0,"Connor was going way, way, way the wrong way.",connor,go,.47432056
WV2022.txt,West Virginia,Justice_Jim,71,0,"If you all would stand up, please give them a round of applause.",you,stand,.48903406
WV2022.txt,West Virginia,Justice_Jim,71,0,You couldn't imagine that they would pick West Virginia.,they,pick,.55550212
WV2022.txt,West Virginia,Justice_Jim,71,0,"I hope that you will take that and really, seriously consider both.",you,take,.4650296
WV2022.txt,West Virginia,Justice_Jim,71,0,Don't fall prey to that.,fall,prey,.24833006
WV2022.txt,West Virginia,Justice_Jim,71,0,"Her boyfriend, her dog, and herself, all of them have moved, now, to West Virginia.",boyfriend,move,.43536621
WV2022.txt,West Virginia,Justice_Jim,71,0,You just think of the investment that we’ve made in tourism and what has happened in this state.,make,that,.55786943
WV2022.txt,West Virginia,Justice_Jim,71,0,I also want to propose a bill to make computer programming and coding classes mandatory in middle and high school.,propose,bill,.35189426
WV2022.txt,West Virginia,Justice_Jim,71,0,They never believed in West Virginia.,they,believe,.47976086
WV2022.txt,West Virginia,Justice_Jim,71,0,"We have now lost 5,697 people.",lose,people,.45934197
